policy,recovery_rate,incremental_recovery_pp,intervention_rate,unnecessary_intervention_rate,merchant_value_minor_per_failure,incremental_value_minor_per_failure,discount_spend_minor_per_failure,action_cost_minor_per_failure,economic_regret_minor_per_failure
NO_ACTION,0.6208800000000001,0.0,0.0,0.0,42886.23880799999,0.0,0.0,0.0,4156.376408000011
GOVERNOR_T0,0.6648,4.391999999999985,0.756,0.291005291005291,45762.087159999995,2875.848352000008,0.0,86.4,1280.5280560000028
GOVERNOR_T5,0.65992,3.9039999999999853,0.528,0.19696969696969696,45461.310836,2575.0720280000096,0.0,70.2,1581.3043800000014
GOVERNOR_T10,0.65104,3.0159999999999854,0.4,0.19,45115.138464,2228.899656000016,0.0,54.8,1927.476751999995
GOVERNOR_T20,0.642,2.1119999999999917,0.272,0.14705882352941177,44632.786243999995,1746.547436000008,0.0,39.4,2409.828972000003
ECONOMIC_ORACLE,0.68136,6.047999999999987,0.696,0.0,47042.615216,4156.376408000011,0.0,75.0,0.0
