policy,recovery_rate,incremental_recovery_pp,intervention_rate,unnecessary_intervention_rate,merchant_value_minor_per_failure,incremental_value_minor_per_failure,discount_spend_minor_per_failure,action_cost_minor_per_failure,economic_regret_minor_per_failure
NO_ACTION,0.61192,0.0,0.0,0.0,38614.81800399999,0.0,0.0,0.0,3832.9411640000035
GOVERNOR_T0,0.6508800000000001,3.8960000000000106,0.676,0.26627218934911245,41144.76817999999,2529.9501759999985,0.0,69.2,1302.990988000005
GOVERNOR_T5,0.6432800000000001,3.1360000000000054,0.436,0.1834862385321101,40852.849771999994,2238.0317680000007,0.0,51.8,1594.9093960000027
GOVERNOR_T10,0.63176,1.9839999999999969,0.26,0.18461538461538463,40388.166591999994,1773.3485880000007,0.0,35.2,2059.5925760000027
GOVERNOR_T20,0.62152,0.9599999999999942,0.12,0.2,39563.12392,948.3059160000048,0.0,17.4,2884.6352479999987
ECONOMIC_ORACLE,0.67176,5.984,0.672,0.0,42447.759168,3832.9411640000035,0.0,68.4,0.0
